customer_id,first_name,last_name,email,phone,signup_date,first_campaign_id,acquisition_channel,total_purchases,total_spent,avg_order_value,last_purchase_date,days_since_last_purchase,customer_segment,loyalty_member,loyalty_points,favorite_product_category,preferred_contact_method,age_range,location,purchase_frequency_days,lifetime_value,churn_risk_score,satisfaction_score,referrals_made,responded_to_campaigns,clicked_campaigns,converted_campaigns,email_open_rate,email_click_rate,sms_response_rate,social_shares,video_completion_rate,app_downloads,store_visits,phone_calls,repeat_purchase_rate,preferred_time,preferred_day,seasonal_preference,weather_preference,device_type,social_media_follower,newsletter_subscriber,push_notifications_enabled
1,Jeffrey,Thomas,jeffrey.thomas26@email.com,555-5506,2025-01-31,8,Facebook,5,98.25,19.65,2025-01-23,288,New,True,55,Cappuccino,Push,25-34,Business Dist,22,198.7,0.48,4.0,1,16,10,3,73.4,55.1,84.2,18,70.1,0,39,4,13.0,All Day,Wednesday,Summer,Any,Mobile,False,True,False
2,Ashley,Brooks,ashley.brooks128@email.com,555-7201,2025-07-20,18,SMS,9,312.3,34.7,2025-09-16,52,Local,True,396,Seasonal Items,Social,45-54,University,21,726.53,0.41,4.0,3,11,8,4,36.5,24.6,82.6,4,65.1,0,9,17,25.4,Afternoon,Wednesday,Winter,Cloudy,Tablet,True,True,False
3,Thomas,Hamilton,thomas.hamilton795@email.com,555-1916,2025-02-16,2,LinkedIn,8,154.0,19.25,2025-03-17,235,Eco,False,422,Latte,Social,25-34,Suburban,17,292.46,0.26,4.7,7,16,13,5,51.5,28.0,77.2,14,64.1,0,17,16,57.6,All Day,Friday,Winter,Mild,Tablet,True,True,True
4,Betty,Martinez,betty.martinez395@email.com,555-7252,2024-02-06,15,SMS,4,87.2,21.8,2025-08-18,81,App Users,True,756,Pastries,Email,35-44,All Locations,18,144.07,0.4,4.4,0,12,10,5,46.9,28.7,87.8,1,88.2,1,20,6,26.9,Afternoon,Friday,Summer,Any,Tablet,False,True,True
5,Karen,Davis,karen.davis88@email.com,555-8962,2025-07-30,25,Facebook,10,342.9,34.29,2025-07-27,103,Students,False,108,Iced Coffee,Push,35-44,Business Dist,32,828.0,0.46,4.2,3,5,3,1,48.4,26.1,63.3,42,72.7,0,47,10,15.0,All Day,Thursday,Summer,Cloudy,Mobile,True,True,True
6,Angela,Carter,angela.carter686@email.com,555-8953,2025-03-03,18,Facebook,11,186.34,16.94,2025-04-04,217,Local,True,196,Seasonal Items,Push,18-24,Downtown,22,338.63,0.44,4.6,2,10,5,2,79.2,46.9,67.8,25,87.5,0,5,17,70.3,Morning,Thursday,Winter,Any,Mobile,False,True,True
7,Sarah,Anderson,sarah.anderson52@email.com,555-9856,2025-09-23,3,Google Ads,9,164.61,18.29,2025-04-21,200,Students,False,15,Iced Coffee,Push,35-44,Business Dist,30,214.42,0.57,4.4,5,12,7,2,75.6,58.2,84.2,17,61.8,0,34,10,77.3,All Day,Saturday,Spring,Cloudy,Mobile,True,True,False
8,Laura,Allen,laura.allen71@email.com,555-2113,2023-11-17,8,TikTok,5,140.75,28.15,2025-05-29,162,New,True,107,Iced Coffee,SMS,35-44,Suburban,27,278.44,0.47,4.0,1,12,8,5,88.5,65.4,92.8,0,61.5,1,9,2,71.5,Evening,Thursday,Fall,Mild,Tablet,True,False,True
9,Mark,Mitchell,mark.mitchell162@email.com,555-8179,2024-03-31,23,SMS,12,405.36,33.78,2025-09-08,60,Local,False,206,Espresso,SMS,35-44,University,15,592.29,0.4,4.4,6,11,7,2,40.2,30.5,91.8,36,68.6,0,9,15,28.3,All Day,Tuesday,Winter,Cloudy,Tablet,False,True,True
10,Sharon,Rivera,sharon.rivera565@email.com,555-8007,2024-03-13,1,Email,2,35.1,17.55,2025-10-17,21,New,True,110,Subscription,SMS,25-34,Downtown,37,58.61,0.31,4.2,6,7,6,2,60.3,46.4,65.7,43,65.3,0,27,7,28.7,Evening,Sunday,All,Any,Desktop,True,True,False
11,Stephen,Taylor,stephen.taylor392@email.com,555-1634,2024-06-14,8,Google Ads,9,253.8,28.2,2025-06-17,143,Foodies,True,124,Espresso,Social,35-44,All Locations,24,451.3,0.45,4.6,1,6,5,2,36.8,20.7,70.7,37,68.0,0,33,16,73.0,Brunch,Saturday,All,Rainy,Mobile,False,True,False
12,Samantha,Baker,samantha.baker46@email.com,555-8144,2025-10-07,17,Google Ads,10,282.7,28.27,2025-06-06,154,Health,False,421,Gift Cards,Social,45-54,University,17,409.79,0.48,4.6,4,9,6,4,48.1,27.7,80.4,43,65.2,1,14,12,50.6,Brunch,Saturday,Winter,Cold,Mobile,False,False,True
13,Frank,Campbell,frank.campbell477@email.com,555-8238,2024-07-13,22,Google Ads,11,301.29,27.39,2025-07-09,121,App Users,False,748,Iced Coffee,SMS,25-34,Suburban,20,425.44,0.4,4.2,6,5,3,1,65.3,34.7,80.1,49,71.5,0,15,10,77.1,Morning,Monday,Fall,Hot,Tablet,True,True,True
14,Michelle,Cox,michelle.cox52@email.com,555-5082,2025-06-06,15,Facebook,12,282.36,23.53,2025-03-23,229,Foodies,False,616,Latte,Push,45-54,University,25,674.34,0.49,4.6,4,18,13,5,36.6,26.9,76.6,47,69.4,0,35,5,20.6,Afternoon,Sunday,Winter,Any,Tablet,True,True,False
15,Paul,Foster,paul.foster157@email.com,555-4505,2025-08-04,14,TikTok,12,397.2,33.1,2025-10-27,11,Health,True,498,Merchandise,Push,45-54,Downtown,29,794.76,0.32,4.1,3,20,15,7,46.9,35.9,78.6,3,66.6,0,24,14,57.5,Evening,Wednesday,Spring,Any,Desktop,False,True,False
16,Steven,Russell,steven.russell170@email.com,555-8657,2025-05-31,20,Instagram,4,64.04,16.01,2025-07-21,109,Eco,True,286,Pastries,Social,35-44,Business Dist,17,112.39,0.39,4.1,1,18,9,4,74.0,46.0,74.9,22,63.1,0,49,17,20.7,Evening,Sunday,Spring,Rainy,Mobile,True,True,True
17,Rachel,Howard,rachel.howard686@email.com,555-2874,2024-03-10,7,Multi-Channel,8,244.48,30.56,2025-05-31,160,Corporate,False,58,Espresso,Email,35-44,All Locations,53,365.87,0.55,4.3,0,10,5,3,86.0,58.5,86.1,38,75.2,0,5,10,33.9,Brunch,Thursday,Fall,Sunny,Tablet,False,False,False
18,Andrew,Torres,andrew.torres109@email.com,555-8102,2024-10-03,21,Multi-Channel,9,245.88,27.32,2025-03-04,248,Students,False,69,Pastries,Push,55-64,University,20,590.98,0.66,4.5,6,11,9,3,67.7,46.5,71.6,47,64.6,0,12,17,34.8,Evening,Sunday,Fall,Any,Mobile,False,True,False
19,William,Evans,william.evans287@email.com,555-5526,2024-03-18,1,Google Ads,2,58.48,29.24,2025-10-29,9,New,False,165,Espresso,Social,25-34,Business Dist,33,107.48,0.45,4.5,7,20,14,6,48.2,26.3,84.6,47,70.6,0,26,10,18.4,Afternoon,Wednesday,All,Rainy,Desktop,False,True,False
20,Laura,Ford,laura.ford707@email.com,555-4033,2025-03-26,7,Multi-Channel,7,242.27,34.61,2025-06-08,152,Corporate,False,144,Cappuccino,Social,25-34,University,67,557.02,0.79,4.2,7,4,3,1,70.4,54.8,69.5,44,79.1,1,29,11,77.6,Morning,Saturday,All,Cloudy,Desktop,True,True,False
