customer_id,first_name,last_name,email,phone,signup_date,first_campaign_id,acquisition_channel,total_purchases,total_spent,avg_order_value,last_purchase_date,days_since_last_purchase,customer_segment,loyalty_member,loyalty_points,favorite_product_category,preferred_contact_method,age_range,location,purchase_frequency_days,lifetime_value,churn_risk_score,satisfaction_score,referrals_made,responded_to_campaigns,clicked_campaigns,converted_campaigns,email_open_rate,email_click_rate,sms_response_rate,social_shares,video_completion_rate,app_downloads,store_visits,phone_calls,repeat_purchase_rate,preferred_time,preferred_day,seasonal_preference,weather_preference,device_type,social_media_follower,newsletter_subscriber,push_notifications_enabled
1,Jeffrey,Thomas,jeffrey.thomas26@email.com,555-5506,2025-01-31,8,Facebook,7,532.84,76.12,2025-01-23,269,New,True,134,Cappuccino,Push,25-34,Business Dist,41,1091.52,2.64,3.9,1,16,10,3,17.77,2.79,10.93,7,83.07,4,11,5,23.33,All Day,Wednesday,Summer,Any,Mobile,False,True,False
2,Ashley,Brooks,ashley.brooks128@email.com,555-7201,2025-07-20,18,SMS,20,4875.8,243.79,2025-09-16,78,Local,True,603,Seasonal Items,Social,45-54,University,16,11037.98,3.72,2.52,3,11,8,4,41.29,16.93,43.94,3,89.73,2,2,6,66.67,Afternoon,Wednesday,Winter,Cloudy,Tablet,True,True,False
3,Thomas,Hamilton,thomas.hamilton795@email.com,555-1916,2025-02-16,2,LinkedIn,29,3201.89,110.41,2025-03-17,216,Eco,False,486,Latte,Social,25-34,Suburban,11,9346.9,2.67,3.32,7,16,13,5,42.23,8.81,12.08,2,77.78,1,13,8,95.0,All Day,Friday,Winter,Mild,Tablet,True,True,True
4,Betty,Martinez,betty.martinez395@email.com,555-7252,2024-02-06,15,SMS,15,3377.55,225.17,2025-08-18,98,App Users,True,483,Pastries,Email,35-44,All Locations,23,4338.03,2.62,3.79,0,12,10,5,70.52,21.06,18.94,2,79.14,4,10,5,50.0,Afternoon,Friday,Summer,Any,Tablet,False,True,True
5,Karen,Davis,karen.davis88@email.com,555-8962,2025-07-30,25,Facebook,11,1816.76,165.16,2025-07-27,236,Students,False,368,Iced Coffee,Push,35-44,Business Dist,24,3234.93,3.98,2.72,3,5,3,1,48.27,10.32,18.05,12,37.43,2,11,4,36.67,All Day,Thursday,Summer,Cloudy,Mobile,True,True,True
6,Angela,Carter,angela.carter686@email.com,555-8953,2025-03-03,18,Facebook,8,1622.48,202.81,2025-04-04,282,Local,True,264,Seasonal Items,Push,18-24,Downtown,36,4608.99,2.9,3.38,2,10,5,2,36.63,5.62,44.21,7,60.37,4,11,6,26.67,Morning,Thursday,Winter,Any,Mobile,False,True,True
7,Sarah,Anderson,sarah.anderson52@email.com,555-9856,2025-09-23,3,Google Ads,29,3932.69,135.61,2025-04-21,149,Students,False,409,Iced Coffee,Push,35-44,Business Dist,11,12816.54,3.43,2.58,5,12,7,2,78.38,27.58,35.27,6,24.71,3,11,0,95.0,All Day,Saturday,Spring,Cloudy,Mobile,True,True,False
8,Laura,Allen,laura.allen71@email.com,555-2113,2023-11-17,8,TikTok,21,3206.49,152.69,2025-05-29,304,New,True,334,Iced Coffee,SMS,35-44,Suburban,17,7621.37,2.64,2.7,1,12,8,5,17.75,2.16,40.85,0,26.64,3,6,4,70.0,Evening,Thursday,Fall,Mild,Tablet,True,False,True
9,Mark,Mitchell,mark.mitchell162@email.com,555-8179,2024-03-31,23,SMS,7,932.96,133.28,2025-09-08,66,Local,False,251,Espresso,SMS,35-44,University,36,2261.37,1.98,3.49,6,11,7,2,39.58,15.81,16.27,15,89.92,3,9,1,23.33,All Day,Tuesday,Winter,Cloudy,Tablet,False,True,True
10,Sharon,Rivera,sharon.rivera565@email.com,555-8007,2024-03-13,1,Email,26,1687.66,64.91,2025-10-17,234,New,True,320,Subscription,SMS,25-34,Downtown,14,2441.19,3.02,2.83,6,7,6,2,12.94,2.94,33.12,5,42.86,3,12,3,86.67,Evening,Sunday,All,Any,Desktop,True,True,False
